ID,N,K,mst_brkga__f,st_brkga__f,greedy_brkga__f,skater__f,redcap__f,schc__f,azp_greedy__f,azp_sa__f,azp_tabu__f,mst_brkga__time,st_brkga__time,greedy_brkga__time,skater__time,redcap__time,schc__time,azp_greedy__time,azp_sa__time,azp_tabu__time,mst_brkga__last_gen,st_brkga__last_gen,greedy_brkga__last_gen
01__3__0,11,3,0.3435719495973938,0.3435719495973937,0.3435719495973937,0.4109125989154606,0.4109125989154606,0.3435719495973938,1.3142279309301472,1.3142279309301472,1.3142279309301472,1.665602445602417,1.811469554901123,7.071383237838745,0.0,0.0,0.0,0.0010225772857666,0.0009896755218505,0.0,100,100,100
01__3__1,11,3,0.3435719495973938,0.3435719495973937,0.3435719495973937,0.4109125989154606,0.4109125989154606,0.3435719495973938,0.3435719495973938,0.3435719495973938,0.3435719495973938,3.715908527374268,4.161153793334961,12.010144710540771,0.0009288787841796,0.0,0.001094102859497,0.0,0.0009000301361083,0.001000165939331,100,100,100
01__5__0,11,5,0.0940633345580834,0.0940633345580834,0.0940633345580833,0.0940633345580834,0.0940633345580834,0.0940633345580834,1.3142279309301472,1.3142279309301472,1.3142279309301472,3.706298351287842,4.562914371490479,11.051666021347046,0.0010838508605957,0.0,0.0009334087371826,0.0,0.0010645389556884,0.0,100,100,100
01__5__1,11,5,0.0940633345580834,0.0940633345580834,0.0940633345580833,0.0940633345580834,0.0940633345580834,0.0940633345580834,0.0940633345580834,0.0940633345580834,0.0940633345580834,3.658592939376831,4.614715814590454,10.89454197883606,0.0011487007141113,0.0004148483276367,0.0013308525085449,0.0,0.0,0.0,100,100,100
01__7__0,11,7,0.0340932391558965,0.0340932391558965,0.0340932391558965,0.0340932391558965,0.0340932391558965,0.0340932391558965,1.3142279309301472,1.3142279309301472,1.3142279309301472,3.5213732719421387,5.052871465682983,7.664756536483765,0.0009684562683105,0.0,0.0,0.0,0.0,0.0,100,100,100
01__7__1,11,7,0.0340932391558965,0.0340932391558965,0.0340932391558965,0.0340932391558965,0.0340932391558965,0.0340932391558965,0.0373520185401443,0.0373520185401443,0.0373520185401443,1.5502598285675049,2.087031126022339,3.872826814651489,0.0,0.0,0.0,0.0010743141174316,0.0,0.0,100,100,100
02__3__0,5,3,0.0169088905312091,0.0169088905312091,0.0169088905312091,0.0169088905312091,0.0169088905312091,0.0169088905312091,0.2093560994640492,0.2093560994640492,0.2093560994640492,1.1877553462982178,1.1285195350646973,2.667524576187134,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100
02__3__1,5,3,0.0169088905312091,0.0169088905312091,0.0169088905312091,0.0169088905312091,0.0169088905312091,0.0169088905312091,0.0169088905312091,0.0169088905312091,0.0169088905312091,1.1976990699768066,1.1107711791992188,2.683563709259033,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100
03__3__0,5,3,0.1117947297218939,0.1117947297218939,0.1117947297218939,0.1117947297218939,0.1117947297218939,0.1117947297218939,0.1808911757918011,0.1808911757918011,0.1808911757918011,1.1775994300842283,1.1023828983306885,2.58577561378479,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100
03__3__1,5,3,0.1117947297218939,0.1117947297218939,0.1117947297218939,0.1117947297218939,0.1117947297218939,0.1117947297218939,0.1320151284027857,0.1117947297218939,0.1117947297218939,1.1635055541992188,1.1125695705413818,2.596297264099121,0.0,0.0,0.0,0.0009834766387939,0.0,0.0,100,100,100
04__3__0,11,3,0.4891425479593145,0.4891425479593145,0.4891425479593144,0.4891425479593145,0.4891425479593145,0.5127304267169057,0.9756202994454768,0.9756202994454768,0.9756202994454768,1.6689105033874512,1.8235814571380613,5.029513120651245,0.0,0.0,0.0,0.0,0.0,0.0,100,101,100
04__3__1,11,3,0.4891425479593145,0.4891425479593145,0.4891425479593144,0.4891425479593145,0.4891425479593145,0.5127304267169057,0.5127304267169057,0.5127304267169057,0.50478935625697,1.7268333435058594,1.6685867309570312,5.083886861801148,0.0,0.0009965896606445,0.0,0.0,0.0,0.0010054111480712,100,100,100
04__5__0,11,5,0.2804527775207095,0.2804527775207095,0.2804527775207094,0.3079366057921651,0.3079366057921651,0.2804527775207095,0.9756202994454768,0.9756202994454768,0.9756202994454768,1.6102137565612793,1.9511339664459229,4.598878622055054,0.0,0.0010011196136474,0.0,0.0,0.0,0.0,100,101,102
04__5__1,11,5,0.2804527775207095,0.2804527775207095,0.2804527775207094,0.3079366057921651,0.3079366057921651,0.2804527775207095,0.3009800146636731,0.3009800146636731,0.2956911976241794,1.618807315826416,1.8706529140472408,4.430111646652222,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100
04__7__0,11,7,0.1037599401258917,0.1037599401258917,0.1037599401258917,0.1037599401258917,0.1037599401258917,0.1037599401258917,0.9756202994454768,0.9756202994454768,0.9756202994454768,1.5872418880462646,2.094216823577881,3.798856019973755,0.0,0.0009279251098632,0.0,0.0,0.0,0.0011012554168701,100,100,100
04__7__1,11,7,0.1037599401258917,0.1037599401258917,0.1037599401258917,0.1037599401258917,0.1037599401258917,0.1037599401258917,0.1568313750879056,0.1347980832286869,0.1568313750879056,1.6143736839294434,2.1954345703125,3.7693662643432617,0.0,0.0,0.0002162456512451,0.0,0.0,0.0,100,100,100
05__5__0,38,5,2.4918708925435205,2.491870892543519,2.4918708925435133,3.0484106349489526,3.0484106349489526,2.4918708925435205,8.345214939127786,8.345214939127786,8.345214939127786,5.8443922996521,6.713780641555786,23.658491134643555,0.0,0.0,0.0010135173797607,0.0,0.00099778175354,0.0,117,106,102
05__5__1,38,5,2.4918708925435205,2.491870892543519,2.4918708925435147,3.0484106349489526,3.0484106349489526,2.4918708925435205,4.931050202479849,4.450461465077411,4.931050202479849,5.600613594055176,6.9489052295684814,22.89963436126709,0.0,0.0010061264038085,0.0,0.0010159015655517,0.0019745826721191,0.0020043849945068,113,109,100
