ID,N,K,mst_brkga__f,st_brkga__f,greedy_brkga__f,skater__f,redcap__f,schc__f,azp_greedy__f,azp_sa__f,azp_tabu__f,mst_brkga__time,st_brkga__time,greedy_brkga__time,skater__time,redcap__time,schc__time,azp_greedy__time,azp_sa__time,azp_tabu__time,mst_brkga__last_gen,st_brkga__last_gen,greedy_brkga__last_gen
01__3__0,11,3,0.34357195,0.34357195,0.34357195,0.410912599,0.410912599,0.34357195,1.314227931,1.314227931,1.314227931,1.892124653,2.060612202,6.107184172,0.0,0.00110507,0.000432014,0.0,0.0,0.001008987,100,100,100
01__3__1,11,3,0.34357195,0.34357195,0.34357195,0.410912599,0.410912599,0.34357195,0.34357195,0.34357195,0.34357195,1.903162479,2.085136175,6.057457209,0.0,0.001000404,0.0,0.0,0.0,0.000999451,100,100,100
01__5__0,11,5,0.094063335,0.094063335,0.094063335,0.094063335,0.094063335,0.094063335,1.314227931,1.314227931,1.314227931,1.866707325,2.299597025,5.473783016,0.0,0.0,0.0,0.0,0.0,0.000999451,100,100,100
01__5__1,11,5,0.094063335,0.094063335,0.094063335,0.094063335,0.094063335,0.094063335,0.094063335,0.094063335,0.094063335,1.869980097,2.186529875,5.213722467,0.0,0.0,0.001010895,0.0,0.0,0.000984907,100,100,100
01__7__0,11,7,0.034093239,0.034093239,0.034093239,0.034093239,0.034093239,0.034093239,1.314227931,1.314227931,1.314227931,1.776254177,2.508085012,4.425479174,0.0,0.0,0.0,0.000999928,0.0,0.0,100,100,100
01__7__1,11,7,0.034093239,0.034093239,0.034093239,0.034093239,0.034093239,0.034093239,0.037352019,0.037352019,0.037352019,1.799603701,2.640047789,4.503753185,0.0,0.001027346,0.0,0.0,0.000989199,0.0,100,100,100
02__3__0,5,3,0.016908891,0.016908891,0.016908891,0.016908891,0.016908891,0.016908891,0.209356099,0.209356099,0.209356099,1.431797743,1.285331011,3.060776711,0.0,0.000998735,0.0,0.0,0.0,0.0,100,100,100
02__3__1,5,3,0.016908891,0.016908891,0.016908891,0.016908891,0.016908891,0.016908891,0.016908891,0.016908891,0.016908891,1.409447193,1.302891016,3.069233656,0.0,0.0,0.0,0.0,0.0,0.000999689,100,100,100
03__3__0,5,3,0.11179473,0.11179473,0.11179473,0.11179473,0.11179473,0.11179473,0.180891176,0.180891176,0.180891176,1.362769842,1.249028683,2.968510389,0.0,0.000999689,0.0,0.0,0.0,0.0,100,100,100
03__3__1,5,3,0.11179473,0.11179473,0.11179473,0.11179473,0.11179473,0.11179473,0.132015128,0.11179473,0.11179473,1.348510742,1.25943017,2.979038477,0.0,0.001000166,0.0,0.0,0.0,0.0,100,100,100
04__3__0,11,3,0.489142548,0.489142548,0.489142548,0.489142548,0.489142548,0.512730427,0.975620299,0.975620299,0.975620299,1.989732265,2.069346666,6.065841198,0.0,0.0,0.0,0.0,0.0,0.0,100,101,100
04__3__1,11,3,0.489142548,0.489142548,0.489142548,0.489142548,0.489142548,0.512730427,0.512730427,0.512730427,0.504789356,1.950867891,2.151981831,5.911134243,0.0,0.0,0.0,0.0,0.001000404,0.0,100,100,100
04__5__0,11,5,0.280452778,0.280452778,0.280452778,0.307936606,0.307936606,0.280452778,0.975620299,0.975620299,0.975620299,1.852861404,2.266661406,5.345955372,0.000999689,0.0,0.0,0.0,0.000999928,0.0,100,101,102
04__5__1,11,5,0.280452778,0.280452778,0.280452778,0.307936606,0.307936606,0.280452778,0.300980015,0.300980015,0.295691198,1.895004511,2.290933132,5.277899265,0.00101161,0.0,0.0,0.0,0.001000166,0.0,100,100,100
04__7__0,11,7,0.10375994,0.10375994,0.10375994,0.10375994,0.10375994,0.10375994,0.975620299,0.975620299,0.975620299,1.775265694,2.622197151,4.438639402,0.000999928,0.0,0.0,0.000999689,0.0,0.0,100,100,100
04__7__1,11,7,0.10375994,0.10375994,0.10375994,0.10375994,0.10375994,0.10375994,0.156831375,0.134798083,0.156831375,1.771145582,2.555968761,4.45143342,0.0,0.000989199,0.0,0.0,0.0,0.0,100,100,100
05__5__0,38,5,2.491870893,2.491870893,2.491870893,3.048410635,3.048410635,2.491870893,8.345214939,8.345214939,8.345214939,6.897613287,8.510446787,29.39410973,0.0,0.001588821,0.001026392,0.0,0.0,0.0,117,106,102
05__5__1,38,5,2.491870893,2.491870893,2.491870893,3.048410635,3.048410635,2.491870893,4.931050202,4.450461465,4.931050202,6.62577343,8.590905905,28.78556538,0.0,0.0,0.000999451,0.0,0.003359795,0.001000404,113,109,100
05__7__0,38,7,1.536006079,1.536006079,1.536006079,1.549132308,1.549132308,1.653759364,8.345214939,8.345214939,8.345214939,7.418567657,12.50911331,29.555053,0.000999689,0.000999451,0.000999928,0.0,0.000999928,0.0,149,156,114
05__7__1,38,7,1.536006079,1.536006079,1.536006079,1.549132308,1.549132308,1.653759364,2.843445059,2.843445059,2.843445059,6.595665932,11.80219698,34.06220579,0.001008749,0.000990868,0.0,0.0,0.0020051,0.001049519,130,143,133
05__10__0,38,10,1.048881871,1.079804345,1.048881871,1.070772683,1.070772683,1.105654019,8.345214939,8.345214939,8.345214939,6.124447823,13.05387521,43.96015,0.001000166,0.001019001,0.000980616,0.0,0.001004696,0.000994682,137,138,180
05__10__1,38,10,1.049325847,1.079804345,1.048881871,1.070772683,1.070772683,1.105654019,1.581889577,1.491799836,1.531808134,6.333583355,19.75501347,44.03641152,0.0,0.001626253,0.000495434,0.001009226,0.002013922,0.001991034,141,207,182
06__3__0,10,3,0.399219571,0.399219571,0.399219571,0.399219571,0.399219571,0.50214748,0.81820821,0.81820821,0.81820821,1.833560228,1.938470125,5.709793329,0.001018286,0.0,0.0,0.0,0.0,0.0,100,100,100
